,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,62.2,59.1,3481405,3308621,172784,5
11,2020,Feb,62,58.9,3479167,3304189,174978,5
12,2020,Mar,61.8,58.7,3474013,3297225,176788,5.1
13,2020,Apr,60.3,51.9,3393096,2919929,473167,13.9
14,2020,May,60.9,54.2,3432853,3053663,379190,11
15,2020,Jun,60.7,54.9,3426571,3101634,324937,9.5
16,2020,Jul,60.9,55.6,3442991,3147185,295806,8.6
17,2020,Aug,60.8,56.2,3447119,3184361,262758,7.6
18,2020,Sep,61.1,56.6,3465285,3214835,250450,7.2
19,2020,Oct,61,56.9,3469010,3235644,233366,6.7
20,2020,Nov,61,57.1,3475251,3250125,225126,6.5
21,2020,Dec,61.1,57.2,3482051,3261175,220876,6.3
22,2021,Jan,61.1,57.3,3486137,3272202,213935,6.1
23,2021,Feb,61.1,57.5,3494553,3284849,209704,6
24,2021,Mar,61.2,57.6,3503517,3299435,204082,5.8
25,2021,Apr,61.3,57.8,3512702,3314631,198071,5.6
26,2021,May,61.3,58,3519581,3329319,190262,5.4
27,2021,Jun,61.3,58.1,3525185,3342335,182850,5.2
28,2021,Jul,61.2,58.2,3527687,3355550,172137,4.9
29,2021,Aug,61.1,58.4,3528408,3368401,160007,4.5
30,2021,Sep,61,58.5,3528812,3381004,147808,4.2
31,2021,Oct,60.9,58.5,3530300,3391431,138869,3.9
32,2021,Nov,60.8,58.5,3530829,3394228,136601,3.9
33,2021,Dec,60.7,58.4,3531104,3394307,136797,3.9
