,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,62.8,60.3,19545409,18744753,800656,4.1
11,2020,Feb,62.8,60.2,19536350,18733837,802513,4.1
12,2020,Mar,61.9,58.6,19267549,18213641,1053908,5.5
13,2020,Apr,60,50.4,18651174,15685944,2965230,15.9
14,2020,May,59.8,50.2,18606506,15604432,3002074,16.1
15,2020,Jun,61.2,52.6,19042530,16365183,2677347,14.1
16,2020,Jul,61.3,53.1,19059395,16506245,2553150,13.4
17,2020,Aug,60.7,53.4,18869585,16616651,2252934,11.9
18,2020,Sep,60,53.8,18666533,16740763,1925770,10.3
19,2020,Oct,59.8,54.1,18584660,16820478,1764182,9.5
20,2020,Nov,59.8,54.3,18600782,16892595,1708187,9.2
21,2020,Dec,60.1,54.6,18670917,16957946,1712971,9.2
22,2021,Jan,60.1,54.8,18657907,17020492,1637415,8.8
23,2021,Feb,60.3,55.1,18706712,17099131,1607581,8.6
24,2021,Mar,60.5,55.4,18781662,17199917,1581745,8.4
25,2021,Apr,60.9,55.8,18881824,17310628,1571196,8.3
26,2021,May,61,56.2,18913379,17414749,1498630,7.9
27,2021,Jun,61.3,56.5,19021240,17517358,1503882,7.9
28,2021,Jul,61.3,56.8,19016323,17609627,1406696,7.4
29,2021,Aug,61.4,57.1,19049309,17709087,1340222,7
30,2021,Sep,61.3,57.4,19006826,17788720,1218106,6.4
31,2021,Oct,61.4,57.6,19024355,17860812,1163543,6.1
32,2021,Nov,61.2,57.6,18963995,17860281,1103714,5.8
33,2021,Dec,61.1,57.6,18946015,17850959,1095056,5.8
