,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,68.6,66.7,3122529,3038414,84115,2.7
11,2020,Feb,68.4,66.5,3117993,3032120,85873,2.8
12,2020,Mar,69.6,66.3,3178419,3024629,153790,4.8
13,2020,Apr,66.1,58.4,3018545,2667130,351415,11.6
14,2020,May,67.9,59.9,3103940,2737435,366505,11.8
15,2020,Jun,68,60.5,3111741,2770139,341602,11
16,2020,Jul,65.6,61.3,3006748,2807950,198798,6.6
17,2020,Aug,66,61.9,3027478,2839943,187535,6.2
18,2020,Sep,66.7,62.5,3063615,2868371,195244,6.4
19,2020,Oct,67,62.8,3076024,2887428,188596,6.1
20,2020,Nov,67.3,63.1,3092744,2901044,191700,6.2
21,2020,Dec,67.6,63.3,3111186,2911239,199947,6.4
22,2021,Jan,67.7,63.4,3115249,2920988,194261,6.2
23,2021,Feb,67.9,63.6,3126937,2932239,194698,6.2
24,2021,Mar,68,63.9,3136851,2945538,191313,6.1
25,2021,Apr,68.3,64.1,3149810,2959120,190690,6.1
26,2021,May,68.3,64.4,3154026,2971450,182576,5.8
27,2021,Jun,68.5,64.5,3167911,2981789,186122,5.9
28,2021,Jul,68.5,64.7,3169069,2991698,177371,5.6
29,2021,Aug,68.5,64.8,3171815,3002482,169333,5.3
30,2021,Sep,68.3,65,3164367,3014432,149935,4.7
31,2021,Oct,68.3,65.2,3169784,3026333,143451,4.5
32,2021,Nov,68.3,65.3,3170872,3033312,137560,4.3
33,2021,Dec,68.2,65.3,3170694,3037677,133017,4.2
