,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,62.8,60.6,5190765,5007778,182987,3.5
11,2020,Feb,62.8,60.5,5188322,5000996,187326,3.6
12,2020,Mar,62.7,60.4,5184807,4993425,191382,3.7
13,2020,Apr,59.6,52.3,4939222,4333375,605847,12.3
14,2020,May,60.9,55,5043057,4558551,484506,9.6
15,2020,Jun,60.1,55.1,4984267,4567805,416462,8.4
16,2020,Jul,59.9,55.3,4973135,4590121,383014,7.7
17,2020,Aug,59.6,55.5,4947237,4607015,340222,6.9
18,2020,Sep,59.4,55.6,4941413,4624515,316898,6.4
19,2020,Oct,62.3,58.8,5187767,4897372,290395,5.6
20,2020,Nov,62.2,58.9,5179170,4904628,274542,5.3
21,2020,Dec,62.1,58.9,5174962,4911188,263774,5.1
22,2021,Jan,62,59,5168344,4919056,249288,4.8
23,2021,Feb,61.9,59,5167381,4929263,238118,4.6
24,2021,Mar,61.9,59.2,5171797,4942530,229267,4.4
25,2021,Apr,61.9,59.3,5176910,4955553,221357,4.3
26,2021,May,61.9,59.4,5181417,4967508,213909,4.1
27,2021,Jun,61.9,59.4,5184824,4976603,208221,4
28,2021,Jul,61.8,59.5,5186449,4986370,200079,3.9
29,2021,Aug,61.8,59.5,5190033,4998443,191590,3.7
30,2021,Sep,61.8,59.6,5194094,5011335,182759,3.5
31,2021,Oct,61.8,59.7,5200059,5023623,176436,3.4
32,2021,Nov,61.7,59.7,5200289,5026198,174091,3.3
33,2021,Dec,61.6,59.6,5198796,5025224,173572,3.3
