,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64.3,62.4,901645,874970,26675,3
11,2020,Feb,64.1,62.2,901103,874104,26999,3
12,2020,Mar,63.8,62,898287,872787,25500,2.8
13,2020,Apr,62.6,55.2,883664,779191,104473,11.8
14,2020,May,63.1,57.5,892862,813394,79468,8.9
15,2020,Jun,62.9,58.3,890942,826239,64703,7.3
16,2020,Jul,63,59,894847,838434,56413,6.3
17,2020,Aug,62.9,59.6,895576,848465,47111,5.3
18,2020,Sep,63,60,900182,856718,43464,4.8
19,2020,Oct,62.9,60.2,901471,862354,39117,4.3
20,2020,Nov,62.9,60.3,903867,866139,37728,4.2
21,2020,Dec,62.9,60.3,906483,868813,37670,4.2
22,2021,Jan,62.9,60.3,907948,871201,36747,4
23,2021,Feb,62.9,60.3,910009,873702,36307,4
24,2021,Mar,62.8,60.4,912023,876422,35601,3.9
25,2021,Apr,62.8,60.4,914122,879079,35043,3.8
26,2021,May,62.7,60.4,915795,881489,34306,3.7
27,2021,Jun,62.7,60.4,917529,883514,34015,3.7
28,2021,Jul,62.6,60.3,918907,885623,33284,3.6
29,2021,Aug,62.5,60.3,920046,887733,32313,3.5
30,2021,Sep,62.3,60.2,920969,890000,30969,3.4
31,2021,Oct,62.2,60.2,921775,892027,29748,3.2
32,2021,Nov,62,60.1,921829,892721,29108,3.2
33,2021,Dec,61.8,59.9,921726,892861,28865,3.1
