,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64.3,62.1,3392684,3278899,113785,3.4
11,2020,Feb,64,61.9,3381598,3266921,114677,3.4
12,2020,Mar,62.5,60.3,3301107,3186840,114267,3.5
13,2020,Apr,60.8,50.6,3215828,2675425,540403,16.8
14,2020,May,62.2,54.5,3285590,2880318,405272,12.3
15,2020,Jun,62.3,55.9,3291193,2954875,336318,10.2
16,2020,Jul,62.8,57.2,3318743,3025195,293548,8.8
17,2020,Aug,62.7,58.2,3319412,3081234,238178,7.2
18,2020,Sep,63.1,59.1,3337823,3126233,211590,6.3
19,2020,Oct,63,59.6,3337720,3154581,183139,5.5
20,2020,Nov,63,59.8,3341055,3171442,169613,5.1
21,2020,Dec,63,60,3341005,3180196,160809,4.8
22,2021,Jan,62.9,60.1,3334847,3185199,149648,4.5
23,2021,Feb,62.9,60.2,3334943,3190228,144715,4.3
24,2021,Mar,62.9,60.3,3337111,3196521,140590,4.2
25,2021,Apr,62.9,60.3,3340145,3202244,137901,4.1
26,2021,May,62.9,60.4,3339151,3205510,133641,4
27,2021,Jun,62.8,60.3,3335236,3204945,130291,3.9
28,2021,Jul,62.6,60.2,3325483,3202867,122616,3.7
29,2021,Aug,62.3,60.2,3313881,3201181,112700,3.4
30,2021,Sep,62.1,60.2,3304180,3202775,101405,3.1
31,2021,Oct,61.9,60.2,3299997,3207432,92565,2.8
32,2021,Nov,61.9,60.2,3301190,3212045,89145,2.7
33,2021,Dec,61.9,60.3,3303425,3214734,88691,2.7
