,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,66.9,64.8,1502767,1456191,46576,3.1
11,2020,Feb,66.7,64.7,1499390,1452813,46577,3.1
12,2020,Mar,66.5,64.5,1494910,1449038,45872,3.1
13,2020,Apr,66.1,58,1485740,1304278,181462,12.2
14,2020,May,66.3,60.3,1490016,1355766,134250,9
15,2020,Jun,65.9,61.2,1481657,1374597,107060,7.2
16,2020,Jul,66.2,61.9,1488164,1392459,95705,6.4
17,2020,Aug,66.3,62.6,1490653,1407078,83575,5.6
18,2020,Sep,66.5,63.1,1496240,1418668,77572,5.2
19,2020,Oct,66.5,63.4,1496277,1426269,70008,4.7
20,2020,Nov,66.5,63.6,1497210,1430979,66231,4.4
21,2020,Dec,66.5,63.7,1496184,1433882,62302,4.2
22,2021,Jan,66.3,63.8,1493252,1436492,56760,3.8
23,2021,Feb,66.3,63.9,1492655,1439203,53452,3.6
24,2021,Mar,66.3,64,1493937,1442039,51898,3.5
25,2021,Apr,66.4,64.1,1496076,1444461,51615,3.5
26,2021,May,66.5,64.2,1497684,1446272,51412,3.4
27,2021,Jun,66.5,64.2,1499119,1447334,51785,3.5
28,2021,Jul,66.5,64.2,1499062,1448259,50803,3.4
29,2021,Aug,66.4,64.2,1497808,1449149,48659,3.2
30,2021,Sep,66.3,64.3,1496137,1450655,45482,3
31,2021,Oct,66.2,64.3,1495332,1452439,42893,2.9
32,2021,Nov,66.2,64.3,1495022,1453420,41602,2.8
33,2021,Dec,66.1,64.3,1495233,1453912,41321,2.8
