,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,58.8,55.7,2107062,1998238,108824,5.2
11,2020,Feb,58.6,55.5,2100460,1990629,109831,5.2
12,2020,Mar,59.4,55.4,2129984,1985735,144249,6.8
13,2020,Apr,55.5,48,1988419,1719078,269341,13.5
14,2020,May,56.6,49.6,2026490,1777005,249485,12.3
15,2020,Jun,56.7,50.5,2031092,1806775,224317,11
16,2020,Jul,57.4,51.4,2054032,1838704,215328,10.5
17,2020,Aug,57.5,52.1,2056793,1864094,192699,9.4
18,2020,Sep,57.8,52.7,2068168,1884721,183447,8.9
19,2020,Oct,57.6,53,2061330,1897015,164315,8
20,2020,Nov,57.6,53.3,2059406,1905998,153408,7.4
21,2020,Dec,57.6,53.5,2058216,1913619,144597,7
22,2021,Jan,57.5,53.8,2054678,1920919,133759,6.5
23,2021,Feb,57.6,54,2056686,1928050,128636,6.3
24,2021,Mar,57.8,54.2,2062079,1935637,126442,6.1
25,2021,Apr,57.9,54.4,2067819,1942197,125622,6.1
26,2021,May,58,54.6,2069990,1947251,122739,5.9
27,2021,Jun,58.1,54.7,2071002,1950121,120881,5.8
28,2021,Jul,57.9,54.7,2064982,1951720,113262,5.5
29,2021,Aug,57.8,54.8,2060422,1953709,106713,5.2
30,2021,Sep,57.7,54.9,2056962,1957465,99497,4.8
31,2021,Oct,57.7,55,2058294,1962589,95705,4.6
32,2021,Nov,57.7,55.1,2060428,1967435,92993,4.5
33,2021,Dec,57.8,55.2,2062572,1971316,91256,4.4
