,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,66.3,64.3,3807244,3694453,112791,3
11,2020,Feb,65.9,64,3786577,3675271,111306,2.9
12,2020,Mar,65.5,63.6,3761042,3652180,108862,2.9
13,2020,Apr,60.5,50.1,3475101,2880659,594442,17.1
14,2020,May,64.7,54.7,3717504,3140757,576747,15.5
15,2020,Jun,65.6,56.1,3766243,3222471,543772,14.4
16,2020,Jul,65.8,57.4,3778049,3297726,480323,12.7
17,2020,Aug,65.4,58.4,3753920,3355291,398629,10.6
18,2020,Sep,65.8,59.3,3774648,3402292,372356,9.9
19,2020,Oct,65.4,59.8,3755312,3431706,323606,8.6
20,2020,Nov,65.4,60.1,3753791,3450317,303474,8.1
21,2020,Dec,65.4,60.3,3751090,3461660,289430,7.7
22,2021,Jan,65.2,60.5,3735564,3471394,264170,7.1
23,2021,Feb,65.1,60.8,3733549,3482778,250771,6.7
24,2021,Mar,65.2,61,3735369,3496710,238659,6.4
25,2021,Apr,65.4,61.3,3747684,3511472,236212,6.3
26,2021,May,65.4,61.6,3747620,3524818,222802,5.9
27,2021,Jun,65.7,61.7,3760383,3535247,225136,6
28,2021,Jul,65.6,61.9,3757242,3544583,212659,5.7
29,2021,Aug,65.7,62.1,3758938,3553248,205690,5.5
30,2021,Sep,65.6,62.2,3755821,3562569,193252,5.1
31,2021,Oct,65.7,62.4,3759342,3571398,187944,5
32,2021,Nov,65.6,62.4,3754708,3575515,179193,4.8
33,2021,Dec,65.5,62.5,3751493,3577297,174196,4.6
