,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,61.4,59,4947228,4759231,187997,3.8
11,2020,Feb,61.1,58.8,4926425,4738902,187523,3.8
12,2020,Mar,60.8,58.5,4899311,4715188,184123,3.8
13,2020,Apr,56.6,43.7,4560551,3524836,1035715,22.7
14,2020,May,60.5,48.9,4873862,3937789,936073,19.2
15,2020,Jun,62,52.9,4992980,4266100,726880,14.6
16,2020,Jul,61.3,53.6,4934852,4315434,619418,12.6
17,2020,Aug,60.3,54.3,4861442,4377730,483712,9.9
18,2020,Sep,60.1,54.9,4844405,4421486,422919,8.7
19,2020,Oct,59.6,55.1,4802783,4441635,361148,7.5
20,2020,Nov,59.4,55.2,4786854,4448752,338102,7.1
21,2020,Dec,58.3,54.2,4695972,4369522,326450,7
22,2021,Jan,59,55.2,4755919,4449362,306557,6.4
23,2021,Feb,59,55.2,4751610,4451853,299757,6.3
24,2021,Mar,59,55.3,4753677,4457749,295928,6.2
25,2021,Apr,59.1,55.4,4762840,4465367,297473,6.2
26,2021,May,59.2,55.5,4771544,4473656,297888,6.2
27,2021,Jun,59.4,55.6,4784578,4481616,302962,6.3
28,2021,Jul,59.4,55.7,4791068,4492147,298921,6.2
29,2021,Aug,59.4,55.9,4793832,4505360,288472,6
30,2021,Sep,59.4,56,4792660,4521171,271489,5.7
31,2021,Oct,59.4,56.2,4791888,4535422,256466,5.4
32,2021,Nov,59.3,56.2,4789198,4541141,248057,5.2
33,2021,Dec,59.3,56.3,4788181,4542717,245464,5.1
