,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,70.8,68.1,3164931,3046002,118929,3.8
11,2020,Feb,70.8,68,3164775,3041816,122959,3.9
12,2020,Mar,70.7,67.8,3161670,3034563,127107,4
13,2020,Apr,67.8,61.7,3033422,2761005,272417,9
14,2020,May,69.1,61.6,3094261,2758762,335499,10.8
15,2020,Jun,71.3,65.1,3192385,2915390,276995,8.7
16,2020,Jul,70.8,65.2,3170933,2921354,249579,7.9
17,2020,Aug,70.1,65.3,3143270,2926870,216400,6.9
18,2020,Sep,69.7,65.4,3124017,2929523,194494,6.2
19,2020,Oct,69,65.2,3094425,2925515,168910,5.5
20,2020,Nov,68.5,65,3070597,2917073,153524,5
21,2020,Dec,67.9,64.8,3047413,2906607,140806,4.6
22,2021,Jan,67.4,64.6,3025190,2898627,126563,4.2
23,2021,Feb,67.1,64.5,3012179,2894987,117192,3.9
24,2021,Mar,67,64.6,3007868,2897179,110689,3.7
25,2021,Apr,67.1,64.7,3009626,2903107,106519,3.5
26,2021,May,67.1,64.8,3012884,2910210,102674,3.4
27,2021,Jun,67.2,64.9,3017178,2915674,101504,3.4
28,2021,Jul,67.2,65,3019776,2919586,100190,3.3
29,2021,Aug,67.3,65.1,3023110,2924210,98900,3.3
30,2021,Sep,67.3,65.1,3025818,2929240,96578,3.2
31,2021,Oct,67.3,65.2,3030169,2935496,94673,3.1
32,2021,Nov,67.3,65.2,3029884,2937292,92592,3.1
33,2021,Dec,67.3,65.2,3028904,2937398,91506,3
