,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64,62,3090121,2989677,100444,3.3
11,2020,Feb,64,61.8,3087412,2985019,102393,3.3
12,2020,Mar,64,61.7,3087510,2980223,107287,3.5
13,2020,Apr,60.7,53.9,2929672,2602292,327380,11.2
14,2020,May,59.5,54,2873545,2609270,264275,9.2
15,2020,Jun,61.5,56.8,2972111,2742090,230021,7.7
16,2020,Jul,63.8,59.4,3083772,2867609,216163,7
17,2020,Aug,63.6,59.6,3074580,2878044,196536,6.4
18,2020,Sep,63.5,59.7,3071174,2887628,183546,6
19,2020,Oct,63.3,59.8,3061264,2893155,168109,5.5
20,2020,Nov,63.2,59.9,3057663,2896684,160979,5.3
21,2020,Dec,63.1,59.9,3055656,2898598,157058,5.1
22,2021,Jan,63.1,59.9,3054179,2901666,152513,5
23,2021,Feb,63.1,60,3056002,2905783,150219,4.9
24,2021,Mar,63.1,60.1,3058949,2911306,147643,4.8
25,2021,Apr,63.2,60.2,3060358,2916274,144084,4.7
26,2021,May,63.1,60.2,3059440,2920460,138980,4.5
27,2021,Jun,63.1,60.3,3059568,2924576,134992,4.4
28,2021,Jul,63,60.3,3059425,2928832,130593,4.3
29,2021,Aug,63,60.4,3060882,2934059,126823,4.1
30,2021,Sep,63,60.5,3062759,2939226,123533,4
31,2021,Oct,63.1,60.6,3066928,2945351,121577,4
32,2021,Nov,63,60.5,3066846,2946335,120511,3.9
33,2021,Dec,63,60.5,3066275,2946150,120125,3.9
