,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,63.7,61.3,548116,527768,20348,3.7
11,2020,Feb,63.5,61.2,547094,526974,20120,3.7
12,2020,Mar,63.3,61,545419,525909,19510,3.6
13,2020,Apr,62.5,54.9,538905,473396,65509,12.2
14,2020,May,62.7,57,541722,492200,49522,9.1
15,2020,Jun,62.4,57.8,539344,499270,40074,7.4
16,2020,Jul,62.5,58.5,540945,506033,34912,6.5
17,2020,Aug,62.4,59,540809,511469,29340,5.4
18,2020,Sep,62.5,59.4,542758,515611,27147,5
19,2020,Oct,62.4,59.6,542290,518070,24220,4.5
20,2020,Nov,62.2,59.6,542240,519562,22678,4.2
21,2020,Dec,62.2,59.7,542452,520688,21764,4
22,2021,Jan,62.1,59.7,542480,521933,20547,3.8
23,2021,Feb,62.1,59.8,543537,523465,20072,3.7
24,2021,Mar,62.2,59.9,545192,525344,19848,3.6
25,2021,Apr,62.3,60.1,547197,527269,19928,3.6
26,2021,May,62.4,60.1,548768,528864,19904,3.6
27,2021,Jun,62.4,60.2,550043,530053,19990,3.6
28,2021,Jul,62.4,60.2,550983,531435,19548,3.5
29,2021,Aug,62.4,60.3,551821,533096,18725,3.4
30,2021,Sep,62.4,60.4,552715,535112,17603,3.2
31,2021,Oct,62.3,60.5,553662,536983,16679,3
32,2021,Nov,62.2,60.4,553911,537626,16285,2.9
33,2021,Dec,62.1,60.3,553871,537676,16195,2.9
