,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,70.2,68.1,1052555,1020813,31742,3
11,2020,Feb,70,67.9,1049738,1018468,31270,3
12,2020,Mar,70.3,67.3,1054949,1009682,45267,4.3
13,2020,Apr,69.6,63.9,1045584,960216,85368,8.2
14,2020,May,69.6,65.2,1045076,979695,65381,6.3
15,2020,Jun,69.3,65.7,1040368,987548,52820,5.1
16,2020,Jul,69.3,66.3,1041547,995459,46088,4.4
17,2020,Aug,69.2,66.7,1040964,1002111,38853,3.7
18,2020,Sep,69.3,67,1041629,1007057,34572,3.3
19,2020,Oct,69.1,67.1,1040462,1009793,30669,2.9
20,2020,Nov,69.1,67.2,1040435,1010992,29443,2.8
21,2020,Dec,69.1,67.2,1040558,1011535,29023,2.8
22,2021,Jan,69.1,67.2,1040600,1012452,28148,2.7
23,2021,Feb,69.2,67.3,1041719,1013973,27746,2.7
24,2021,Mar,69.2,67.4,1043369,1015946,27423,2.6
25,2021,Apr,69.3,67.5,1044978,1017905,27073,2.6
26,2021,May,69.4,67.6,1046228,1019663,26565,2.5
27,2021,Jun,69.5,67.7,1047726,1021138,26588,2.5
28,2021,Jul,69.5,67.8,1049460,1022918,26542,2.5
29,2021,Aug,69.6,67.8,1051274,1024863,26411,2.5
30,2021,Sep,69.7,68,1053069,1027171,25898,2.5
31,2021,Oct,69.7,68.1,1054654,1029325,25329,2.4
32,2021,Nov,69.7,68.1,1054809,1030005,24804,2.4
33,2021,Dec,69.7,68,1054647,1030078,24569,2.3
