,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,68.4,66.6,776467,755835,20632,2.7
11,2020,Feb,68.1,66.3,773101,752576,20525,2.7
12,2020,Mar,67.7,65.9,769324,748997,20327,2.6
13,2020,Apr,65.4,54.8,743821,623305,120516,16.2
14,2020,May,66.5,58.6,756340,666860,89480,11.8
15,2020,Jun,66.3,59.9,754500,681473,73027,9.7
16,2020,Jul,66.6,61,758119,694938,63181,8.3
17,2020,Aug,66.3,61.9,756121,705060,51061,6.8
18,2020,Sep,66.5,62.5,758886,712971,45915,6.1
19,2020,Oct,66.3,62.8,757130,717628,39502,5.2
20,2020,Nov,66.2,63,756730,720314,36416,4.8
21,2020,Dec,66.1,63.1,756086,721820,34266,4.5
22,2021,Jan,65.9,63.2,754864,723083,31781,4.2
23,2021,Feb,65.9,63.2,754905,724523,30382,4
24,2021,Mar,65.9,63.3,755492,726226,29266,3.9
25,2021,Apr,65.9,63.4,756492,727826,28666,3.8
26,2021,May,65.9,63.4,756674,728935,27739,3.7
27,2021,Jun,65.8,63.4,756557,729254,27303,3.6
28,2021,Jul,65.6,63.3,755645,729282,26363,3.5
29,2021,Aug,65.5,63.3,754807,729423,25384,3.4
30,2021,Sep,65.3,63.2,754305,730051,24254,3.2
31,2021,Oct,65.3,63.2,754359,731034,23325,3.1
32,2021,Nov,65.2,63.2,754631,731855,22776,3
33,2021,Dec,65.2,63.2,754856,732338,22518,3
