,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,61.1,58.7,9923921,9537629,386292,3.9
11,2020,Feb,61,58.6,9899607,9514153,385454,3.9
12,2020,Mar,60.8,58.4,9864566,9482618,381948,3.9
13,2020,Apr,57.7,48.3,9359206,7839695,1519511,16.2
14,2020,May,58.5,48.9,9494524,7927721,1566803,16.5
15,2020,Jun,59,50.9,9562307,8255048,1307259,13.7
16,2020,Jul,59.1,51.6,9578818,8361578,1217240,12.7
17,2020,Aug,58.6,52.1,9483828,8438359,1045469,11
18,2020,Sep,58.7,52.6,9483945,8503498,980447,10.3
19,2020,Oct,58.3,52.8,9410966,8533486,877480,9.3
20,2020,Nov,58.3,53,9403074,8551035,852039,9.1
21,2020,Dec,58.2,53.1,9382646,8555149,827497,8.8
22,2021,Jan,58.2,53.2,9362929,8554226,808703,8.6
23,2021,Feb,58.2,53.2,9344821,8555836,788985,8.4
24,2021,Mar,59.5,54.8,9548482,8790193,758289,7.9
25,2021,Apr,59.6,54.9,9548857,8804181,744676,7.8
26,2021,May,59.5,55.1,9519849,8817795,702054,7.4
27,2021,Jun,59.6,55.2,9535782,8827869,707913,7.4
28,2021,Jul,59.4,55.3,9487697,8832744,654953,6.9
29,2021,Aug,59.3,55.4,9463499,8837061,626438,6.6
30,2021,Sep,59,55.4,9409934,8842284,567650,6
31,2021,Oct,58.9,55.6,9385787,8851212,534575,5.7
32,2021,Nov,58.8,55.6,9366160,8856579,509581,5.4
33,2021,Dec,58.9,55.7,9364698,8859312,505386,5.4
