,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,61.4,59.1,5026126,4837918,188208,3.7
11,2020,Feb,61.3,59,5020329,4832700,187629,3.7
12,2020,Mar,58.6,56.3,4803784,4617934,185850,3.9
13,2020,Apr,56.7,48.6,4647617,3988923,658694,14.2
14,2020,May,58.2,51.5,4778243,4230550,547693,11.5
15,2020,Jun,58.2,52.6,4782193,4322081,460112,9.6
16,2020,Jul,58.6,53.6,4823362,4410635,412727,8.6
17,2020,Aug,58.6,54.4,4827226,4478821,348405,7.2
18,2020,Sep,58.9,55,4850629,4534755,315874,6.5
19,2020,Oct,58.8,55.4,4852850,4570276,282574,5.8
20,2020,Nov,58.9,55.6,4868848,4596386,272462,5.6
21,2020,Dec,59.1,55.8,4889860,4615246,274614,5.6
22,2021,Jan,59.2,56,4898261,4630473,267788,5.5
23,2021,Feb,59.3,56.1,4907319,4644505,262814,5.4
24,2021,Mar,59.4,56.2,4919387,4661350,258037,5.2
25,2021,Apr,59.5,56.4,4932016,4679512,252504,5.1
26,2021,May,59.6,56.6,4945544,4698253,247291,5
27,2021,Jun,59.7,56.7,4961219,4713996,247223,5
28,2021,Jul,59.7,56.8,4971983,4729562,242421,4.9
29,2021,Aug,59.8,56.9,4983772,4746664,237108,4.8
30,2021,Sep,59.8,57.1,4990202,4763469,226733,4.5
31,2021,Oct,59.8,57.2,4997228,4779257,217971,4.4
32,2021,Nov,59.7,57.2,4994770,4784132,210638,4.2
33,2021,Dec,59.6,57.1,4991732,4784669,207063,4.1
