,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,63.5,60.7,5915607,5650552,265055,4.5
11,2020,Feb,63.4,60.5,5906128,5633460,272668,4.6
12,2020,Mar,62.5,59.5,5820521,5541056,279465,4.8
13,2020,Apr,59.4,49.7,5534881,4626775,908106,16.4
14,2020,May,60.7,52.9,5650297,4931906,718391,12.7
15,2020,Jun,60.7,54.1,5657020,5034211,622809,11
16,2020,Jul,61.2,55.1,5697795,5135618,562177,9.9
17,2020,Aug,61.2,56,5698513,5218792,479721,8.4
18,2020,Sep,61.5,56.8,5726145,5289202,436943,7.6
19,2020,Oct,61.4,57.2,5724911,5333474,391437,6.8
20,2020,Nov,61.5,57.5,5727393,5357664,369729,6.5
21,2020,Dec,61.4,57.6,5724862,5367917,356945,6.2
22,2021,Jan,61.3,57.7,5714401,5373635,340766,6
23,2021,Feb,61.3,57.8,5714426,5381284,333142,5.8
24,2021,Mar,61.4,57.9,5721886,5395357,326529,5.7
25,2021,Apr,61.6,58.1,5735462,5414477,320985,5.6
26,2021,May,61.7,58.3,5746415,5434215,312200,5.4
27,2021,Jun,61.7,58.5,5754438,5448991,305447,5.3
28,2021,Jul,61.7,58.6,5753858,5459218,294640,5.1
29,2021,Aug,61.6,58.6,5748929,5465945,282984,4.9
30,2021,Sep,61.5,58.7,5742109,5471719,270390,4.7
31,2021,Oct,61.5,58.7,5739102,5478409,260693,4.5
32,2021,Nov,61.5,58.7,5739444,5482593,256851,4.5
33,2021,Dec,61.5,58.7,5741266,5485438,255828,4.5
