,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,60.8,58.9,1839449,1781982,57467,3.1
11,2020,Feb,60.6,58.7,1834987,1776825,58162,3.2
12,2020,Mar,60.4,58.5,1830782,1771785,58997,3.2
13,2020,Apr,59.6,52.1,1807286,1579616,227670,12.6
14,2020,May,60.2,54.4,1825960,1648969,176991,9.7
15,2020,Jun,60.1,55.3,1821785,1675891,145894,8
16,2020,Jul,60.4,56.1,1833060,1701400,131660,7.2
17,2020,Aug,60.4,56.7,1835237,1721632,113605,6.2
18,2020,Sep,60.7,57.2,1845175,1737275,107900,5.8
19,2020,Oct,60.7,57.4,1847196,1747099,100097,5.4
20,2020,Nov,60.8,57.6,1851037,1753412,97625,5.3
21,2020,Dec,60.9,57.7,1853477,1757823,95654,5.2
22,2021,Jan,60.8,57.8,1853961,1761974,91987,5
23,2021,Feb,60.9,57.9,1855894,1766563,89331,4.8
24,2021,Mar,60.9,58.1,1858470,1771536,86934,4.7
25,2021,Apr,60.9,58.2,1860441,1775836,84605,4.5
26,2021,May,60.9,58.2,1860707,1779084,81623,4.4
27,2021,Jun,60.8,58.3,1859561,1781212,78349,4.2
28,2021,Jul,60.6,58.3,1856058,1783560,72498,3.9
29,2021,Aug,60.5,58.3,1852156,1786534,65622,3.5
30,2021,Sep,60.3,58.4,1849254,1790621,58633,3.2
31,2021,Oct,60.2,58.5,1848267,1794701,53566,2.9
32,2021,Nov,60.2,58.5,1848840,1796389,52451,2.8
33,2021,Dec,60.1,58.4,1849500,1796843,52657,2.8
