,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,62.9,59.9,6557798,6243679,314119,4.8
11,2020,Feb,62.7,59.6,6541450,6217554,323896,5
12,2020,Mar,62.6,59.4,6527394,6189680,337714,5.2
13,2020,Apr,60.8,50.8,6343145,5297876,1045269,16.5
14,2020,May,61.9,53.8,6449949,5603454,846495,13.1
15,2020,Jun,61.9,54.7,6449044,5705785,743259,11.5
16,2020,Jul,62.3,55.6,6489105,5798225,690880,10.6
17,2020,Aug,62.2,56.3,6483325,5866791,616534,9.5
18,2020,Sep,62.3,56.8,6496930,5916378,580552,8.9
19,2020,Oct,62.2,57,6481120,5942848,538272,8.3
20,2020,Nov,62.1,57.1,6473949,5956147,517802,8
21,2020,Dec,62,57.2,6462948,5962542,500406,7.7
22,2021,Jan,61.9,57.3,6454300,5968862,485438,7.5
23,2021,Feb,61.9,57.4,6447713,5977140,470573,7.3
24,2021,Mar,61.8,57.5,6443504,5987857,455647,7.1
25,2021,Apr,61.8,57.6,6441762,5997691,444071,6.9
26,2021,May,61.8,57.6,6435030,6003537,431493,6.7
27,2021,Jun,61.7,57.6,6427349,6004013,423336,6.6
28,2021,Jul,61.5,57.6,6410832,6002148,408684,6.4
29,2021,Aug,61.3,57.6,6391779,6000568,391211,6.1
30,2021,Sep,61.1,57.6,6375197,6003052,372145,5.8
31,2021,Oct,61,57.6,6365045,6008352,356693,5.6
32,2021,Nov,61,57.6,6364601,6013499,351102,5.5
33,2021,Dec,61,57.7,6367256,6017044,350212,5.5
