,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64.2,61.9,574242,553451,20791,3.6
11,2020,Feb,63.9,61.6,571812,550807,21005,3.7
12,2020,Mar,63.5,61.2,568277,547596,20681,3.6
13,2020,Apr,61,49.8,546360,446095,100265,18.4
14,2020,May,63.6,53.7,569790,481072,88718,15.6
15,2020,Jun,63.6,55,569386,492500,76886,13.5
16,2020,Jul,64,56.2,572963,502979,69984,12.2
17,2020,Aug,63.5,57,569195,511008,58187,10.2
18,2020,Sep,63.9,57.8,572684,517575,55109,9.6
19,2020,Oct,62.5,58.2,560504,521896,38608,6.9
20,2020,Nov,62.9,58.6,563622,525037,38585,6.8
21,2020,Dec,63.1,58.8,565478,527526,37952,6.7
22,2021,Jan,63.1,59.1,565572,529936,35636,6.3
23,2021,Feb,63.2,59.4,567075,532386,34689,6.1
24,2021,Mar,63.4,59.6,568817,534768,34049,6
25,2021,Apr,63.7,59.9,571428,536799,34629,6.1
26,2021,May,63.8,60,572637,538315,34322,6
27,2021,Jun,64,60.1,574739,539247,35492,6.2
28,2021,Jul,64,60.1,574777,540006,34771,6
29,2021,Aug,63.9,60.2,574243,540775,33468,5.8
30,2021,Sep,63.7,60.3,572690,541840,30850,5.4
31,2021,Oct,63.6,60.4,571546,542981,28565,5
32,2021,Nov,63.4,60.4,570298,543578,26720,4.7
33,2021,Dec,63.3,60.4,569597,543856,25741,4.5
