,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,57.5,55.9,2320747,2256818,63929,2.8
11,2020,Feb,57.4,55.7,2316473,2249353,67120,2.9
12,2020,Mar,57.2,55.4,2311188,2241107,70081,3
13,2020,Apr,57.1,50.5,2310569,2042032,268537,11.6
14,2020,May,57.3,52.1,2322657,2110422,212235,9.1
15,2020,Jun,57.2,52.7,2318617,2137279,181338,7.8
16,2020,Jul,57.4,53.3,2331860,2165093,166767,7.2
17,2020,Aug,57.5,53.9,2336650,2189153,147497,6.3
18,2020,Sep,57.7,54.3,2346034,2208782,137252,5.9
19,2020,Oct,57.6,54.5,2347401,2221881,125520,5.3
20,2020,Nov,57.6,54.7,2349304,2230215,119089,5.1
21,2020,Dec,57.6,54.7,2350683,2235662,115021,4.9
22,2021,Jan,57.5,54.8,2349601,2240667,108934,4.6
23,2021,Feb,57.4,54.9,2350945,2246531,104414,4.4
24,2021,Mar,57.5,55,2355006,2253648,101358,4.3
25,2021,Apr,57.5,55.1,2360039,2260720,99319,4.2
26,2021,May,57.6,55.2,2364470,2266546,97924,4.1
27,2021,Jun,57.6,55.2,2367554,2270209,97345,4.1
28,2021,Jul,57.5,55.2,2368671,2273275,95396,4
29,2021,Aug,57.4,55.2,2369185,2276348,92837,3.9
30,2021,Sep,57.4,55.2,2369616,2280234,89382,3.8
31,2021,Oct,57.3,55.2,2370730,2284207,86523,3.6
32,2021,Nov,57.2,55.2,2371116,2285949,85167,3.6
33,2021,Dec,57.1,55.1,2371298,2286561,84737,3.6
