,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,68.7,66.8,461954,449712,12242,2.7
11,2020,Feb,68.4,66.6,460583,448594,11989,2.6
12,2020,Mar,68.2,66.5,459406,447769,11637,2.5
13,2020,Apr,68.1,62.1,459048,418787,40261,8.8
14,2020,May,68.2,63.7,459804,429564,30240,6.6
15,2020,Jun,68,64.3,458365,433853,24512,5.3
16,2020,Jul,68.3,65,460598,438418,22180,4.8
17,2020,Aug,68.4,65.5,461778,442076,19702,4.3
18,2020,Sep,68.6,65.8,463580,445036,18544,4
19,2020,Oct,68.5,66,463872,446754,17118,3.7
20,2020,Nov,68.5,66.1,464326,447767,16559,3.6
21,2020,Dec,68.4,66.1,464321,448299,16022,3.5
22,2021,Jan,68.4,66.1,464142,448962,15180,3.3
23,2021,Feb,68.4,66.2,464605,449803,14802,3.2
24,2021,Mar,68.5,66.3,465632,450895,14737,3.2
25,2021,Apr,68.6,66.4,466752,451896,14856,3.2
26,2021,May,68.6,66.4,467651,452714,14937,3.2
27,2021,Jun,68.7,66.5,468573,453423,15150,3.2
28,2021,Jul,68.7,66.5,469129,454017,15112,3.2
29,2021,Aug,68.6,66.5,469504,454643,14861,3.2
30,2021,Sep,68.6,66.5,469655,455264,14391,3.1
31,2021,Oct,68.5,66.5,470035,456056,13979,3
32,2021,Nov,68.4,66.4,469944,456238,13706,2.9
33,2021,Dec,68.3,66.3,469909,456290,13619,2.9
