,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,63.6,61.4,13975565,13494841,480724,3.4
11,2020,Feb,63.4,61.2,13949039,13466024,483015,3.5
12,2020,Mar,62.8,59.6,13838344,13135701,702643,5.1
13,2020,Apr,59.8,52.2,13190711,11522574,1668137,12.6
14,2020,May,62.5,55.1,13800875,12172243,1628632,11.8
15,2020,Jun,62.3,56.1,13777977,12393208,1384769,10.1
16,2020,Jul,62.7,56.9,13888962,12601111,1287851,9.3
17,2020,Aug,62.7,57.6,13889681,12769701,1119980,8.1
18,2020,Sep,63,58.2,13983783,12909243,1074540,7.7
19,2020,Oct,62.9,58.5,13988179,13001357,986822,7.1
20,2020,Nov,63.1,58.7,14034827,13060347,974480,6.9
21,2020,Dec,63.2,58.8,14077183,13099439,977744,6.9
22,2021,Jan,63.2,58.9,14084103,13135663,948440,6.7
23,2021,Feb,63.2,59,14108447,13178764,929683,6.6
24,2021,Mar,63.3,59.2,14137958,13233703,904255,6.4
25,2021,Apr,63.3,59.4,14170095,13294137,875958,6.2
26,2021,May,63.4,59.6,14194328,13353800,840528,5.9
27,2021,Jun,63.5,59.8,14243426,13405578,837848,5.9
28,2021,Jul,63.4,59.9,14249596,13455074,794522,5.6
29,2021,Aug,63.4,60,14269081,13500355,768726,5.4
30,2021,Sep,63.3,60.1,14272899,13544229,728670,5.1
31,2021,Oct,63.3,60.2,14295547,13581395,714152,5
32,2021,Nov,63.2,60.1,14287946,13593060,694886,4.9
33,2021,Dec,63.1,60.1,14282879,13595276,687603,4.8
