,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,66.7,65,356211,347148,9063,2.5
11,2020,Feb,66.6,64.8,355409,346225,9184,2.6
12,2020,Mar,66.4,64.6,354712,345190,9522,2.7
13,2020,Apr,68.1,58.3,363610,311439,52171,14.3
14,2020,May,64.5,58.4,344715,311880,32835,9.5
15,2020,Jun,63.3,58.5,338027,312325,25702,7.6
16,2020,Jul,62.8,58.8,335153,313804,21349,6.4
17,2020,Aug,62.1,58.9,331791,314718,17073,5.1
18,2020,Sep,61.8,59,330539,315650,14889,4.5
19,2020,Oct,61.4,58.9,328559,315478,13081,4
20,2020,Nov,61.2,58.8,327603,315068,12535,3.8
21,2020,Dec,61,58.7,327087,314535,12552,3.8
22,2021,Jan,61,58.6,326828,314222,12606,3.9
23,2021,Feb,61,58.6,327042,314363,12679,3.9
24,2021,Mar,61,58.7,327547,315000,12547,3.8
25,2021,Apr,61.1,58.8,328125,315875,12250,3.7
26,2021,May,61.1,58.9,328514,316717,11797,3.6
27,2021,Jun,61.1,59,328659,317280,11379,3.5
28,2021,Jul,61,59,328436,317455,10981,3.3
29,2021,Aug,60.9,59,328348,317685,10663,3.2
30,2021,Sep,60.9,59,328358,317942,10416,3.2
31,2021,Oct,60.9,59,328586,318390,10196,3.1
32,2021,Nov,60.8,58.9,328546,318415,10131,3.1
33,2021,Dec,60.8,58.9,328535,318426,10109,3.1
