,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,65.4,62.9,3976695,3823183,153512,3.9
11,2020,Feb,65.4,62.8,3976464,3821069,155395,3.9
12,2020,Mar,64.9,61.5,3953738,3744680,209058,5.3
13,2020,Apr,66.5,55.3,4051077,3372313,678764,16.8
14,2020,May,65.2,56.6,3978036,3451334,526702,13.2
15,2020,Jun,64.4,57.1,3929414,3483182,446232,11.4
16,2020,Jul,64.1,57.6,3918804,3519222,399582,10.2
17,2020,Aug,63.6,58,3885396,3547912,337484,8.7
18,2020,Sep,63.5,58.4,3882048,3574600,307448,7.9
19,2020,Oct,63.2,58.7,3866641,3591665,274976,7.1
20,2020,Nov,63.1,58.9,3864297,3604529,259768,6.7
21,2020,Dec,63.1,59,3867742,3614843,252899,6.5
22,2021,Jan,63.1,59.2,3866736,3624667,242069,6.3
23,2021,Feb,63.1,59.3,3871096,3636626,234470,6.1
24,2021,Mar,63.2,59.5,3877979,3651185,226794,5.8
25,2021,Apr,63.4,59.8,3886772,3666574,220198,5.7
26,2021,May,63.4,60,3894512,3681350,213162,5.5
27,2021,Jun,63.6,60.2,3906118,3696525,209593,5.4
28,2021,Jul,63.7,60.4,3916761,3712969,203792,5.2
29,2021,Aug,63.9,60.7,3929320,3731837,197483,5
30,2021,Sep,64,60.9,3939003,3749589,189414,4.8
31,2021,Oct,64.1,61.1,3947637,3765399,182238,4.6
32,2021,Nov,64,61.1,3946180,3767745,178435,4.5
33,2021,Dec,63.9,61.1,3943843,3766702,177141,4.5
