,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,66.3,64.3,3109128,3012863,96265,3.1
11,2020,Feb,66.1,64.1,3099913,3006588,93325,3
12,2020,Mar,65.9,64,3089949,3000492,89457,2.9
13,2020,Apr,65.8,56.5,3086650,2651917,434733,14.1
14,2020,May,66.2,59.3,3102886,2779580,323306,10.4
15,2020,Jun,66,60.3,3095484,2827842,267642,8.6
16,2020,Jul,66.2,61.2,3108339,2873121,235218,7.6
17,2020,Aug,66.1,62,3102716,2909042,193674,6.2
18,2020,Sep,66.3,62.6,3113697,2937600,176097,5.7
19,2020,Oct,66.3,62.9,3113061,2955887,157174,5
20,2020,Nov,66.3,63.1,3117692,2967580,150112,4.8
21,2020,Dec,66.4,63.3,3121843,2975338,146505,4.7
22,2021,Jan,66.4,63.4,3122122,2981670,140452,4.5
23,2021,Feb,66.5,63.6,3126624,2988260,138364,4.4
24,2021,Mar,66.6,63.7,3131595,2995757,135838,4.3
25,2021,Apr,66.7,63.8,3136795,3003198,133597,4.3
26,2021,May,66.7,64,3139516,3009893,129623,4.1
27,2021,Jun,66.7,64,3141439,3015001,126438,4
28,2021,Jul,66.7,64.1,3140115,3019844,120271,3.8
29,2021,Aug,66.6,64.2,3137702,3024602,113100,3.6
30,2021,Sep,66.5,64.3,3135470,3030203,105267,3.4
31,2021,Oct,66.4,64.3,3134799,3035515,99284,3.2
32,2021,Nov,66.4,64.3,3134692,3037765,96927,3.1
33,2021,Dec,66.4,64.3,3135065,3038524,96541,3.1
