,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,67.1,64.8,1955906,1888465,67441,3.4
11,2020,Feb,66.9,64.6,1950771,1883931,66840,3.4
12,2020,Mar,66.7,64.4,1944775,1878877,65898,3.4
13,2020,Apr,63.1,58.1,1840803,1694407,146396,8
14,2020,May,65.7,58.2,1915301,1696323,218978,11.4
15,2020,Jun,65.5,58.2,1908325,1696962,211363,11.1
16,2020,Jul,65.8,58.4,1916680,1702587,214093,11.2
17,2020,Aug,64.6,58.5,1884280,1705729,178551,9.5
18,2020,Sep,64.4,58.7,1878425,1710459,167966,8.9
19,2020,Oct,63.8,58.6,1861060,1710946,150114,8.1
20,2020,Nov,63.6,58.6,1856081,1711450,144631,7.8
21,2020,Dec,63.5,58.6,1853792,1711536,142256,7.7
22,2021,Jan,63.3,58.6,1847172,1712261,134911,7.3
23,2021,Feb,63.2,58.7,1846719,1714601,132118,7.2
24,2021,Mar,63.3,58.8,1847871,1718902,128969,7
25,2021,Apr,63.5,59,1853765,1724237,129528,7
26,2021,May,63.4,59.2,1853898,1730239,123659,6.7
27,2021,Jun,63.7,59.4,1861467,1736426,125041,6.7
28,2021,Jul,63.6,59.5,1859930,1742212,117718,6.3
29,2021,Aug,63.6,59.7,1861388,1748664,112724,6.1
30,2021,Sep,63.5,59.9,1859051,1754406,104645,5.6
31,2021,Oct,63.5,60,1860534,1759603,100931,5.4
32,2021,Nov,63.3,60,1856259,1759666,96593,5.2
33,2021,Dec,63.2,59.9,1853732,1759082,94650,5.1
