,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64.5,62.1,6524806,6285392,239414,3.7
11,2020,Feb,64.5,62,6521872,6273767,248105,3.8
12,2020,Mar,64,60.8,6473214,6153567,319647,4.9
13,2020,Apr,63,52,6366967,5258756,1108211,17.4
14,2020,May,63.1,53.9,6376437,5450216,926221,14.5
15,2020,Jun,62.7,54.7,6329994,5528036,801958,12.7
16,2020,Jul,62.8,55.6,6342576,5613618,728958,11.5
17,2020,Aug,62.4,56.2,6296387,5677310,619077,9.8
18,2020,Sep,62.5,56.8,6304803,5734503,570300,9
19,2020,Oct,62.3,57.2,6278117,5767334,510783,8.1
20,2020,Nov,62.3,57.5,6277488,5792044,485444,7.7
21,2020,Dec,62.4,57.7,6282992,5812387,470605,7.5
22,2021,Jan,62.3,57.9,6274598,5830102,444496,7.1
23,2021,Feb,62.4,58.1,6280559,5847051,433508,6.9
24,2021,Mar,62.6,58.3,6289392,5865671,423721,6.7
25,2021,Apr,62.7,58.6,6302026,5883090,418936,6.6
26,2021,May,62.8,58.7,6307602,5899080,408522,6.5
27,2021,Jun,63,58.9,6321192,5913068,408124,6.5
28,2021,Jul,63,59.1,6323582,5929507,394075,6.2
29,2021,Aug,63.1,59.3,6330348,5953583,376765,6
30,2021,Sep,63.1,59.6,6332171,5980989,351182,5.5
31,2021,Oct,63.3,59.9,6343551,6009011,334540,5.3
32,2021,Nov,63.2,60,6341105,6015878,325227,5.1
33,2021,Dec,63.3,60,6339764,6015254,324510,5.1
