,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,70,68.2,1747415,1701909,45506,2.6
11,2020,Feb,69.7,67.9,1739520,1694404,45116,2.6
12,2020,Mar,69.4,67.6,1731056,1686641,44415,2.6
13,2020,Apr,69,61.7,1721183,1540749,180434,10.5
14,2020,May,67.1,61.8,1675014,1541346,133668,8
15,2020,Jun,66.2,61.9,1651007,1544167,106840,6.5
16,2020,Jul,66.1,62.2,1648875,1553002,95873,5.8
17,2020,Aug,65.9,62.6,1646359,1561925,84434,5.1
18,2020,Sep,66.1,62.9,1651241,1571345,79896,4.8
19,2020,Oct,66.1,63.1,1652825,1577987,74838,4.5
20,2020,Nov,66.3,63.3,1658195,1583691,74504,4.5
21,2020,Dec,66.5,63.5,1661964,1587317,74647,4.5
22,2021,Jan,66.5,63.6,1663589,1590464,73125,4.4
23,2021,Feb,66.6,63.7,1666487,1593411,73076,4.4
24,2021,Mar,66.8,63.9,1671505,1597659,73846,4.4
25,2021,Apr,67,64,1676502,1601704,74798,4.5
26,2021,May,67.1,64.1,1679868,1604918,74950,4.5
27,2021,Jun,67.2,64.2,1682834,1607573,75261,4.5
28,2021,Jul,67.1,64.2,1682722,1608627,74095,4.4
29,2021,Aug,67,64.2,1681377,1609512,71865,4.3
30,2021,Sep,66.9,64.1,1678099,1609344,68755,4.1
31,2021,Oct,66.8,64.1,1677109,1610792,66317,4
32,2021,Nov,66.7,64.1,1675768,1610657,65111,3.9
33,2021,Dec,66.7,64.1,1675625,1610773,64852,3.9
