,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,62.5,60.7,702354,682099,20255,2.9
11,2020,Feb,62.2,60.5,699661,680022,19639,2.8
12,2020,Mar,61.9,60.2,696644,677777,18867,2.7
13,2020,Apr,58.1,52.9,654532,595050,59482,9.1
14,2020,May,59.5,54,669902,608388,61514,9.2
15,2020,Jun,58.7,54.9,661340,617632,43708,6.6
16,2020,Jul,59.4,55.6,668595,626400,42195,6.3
17,2020,Aug,58.8,56.1,663228,632959,30269,4.6
18,2020,Sep,59.2,56.6,668297,638750,29547,4.4
19,2020,Oct,59.3,56.9,669712,642421,27291,4.1
20,2020,Nov,59.5,57.1,673025,645188,27837,4.1
21,2020,Dec,59.8,57.2,676567,647056,29511,4.4
22,2021,Jan,59.9,57.3,678436,648314,30122,4.4
23,2021,Feb,60.1,57.3,681004,649369,31635,4.6
24,2021,Mar,60.2,57.4,682910,650402,32508,4.8
25,2021,Apr,60.4,57.4,685101,651185,33916,5
26,2021,May,60.3,57.4,684920,651674,33246,4.9
27,2021,Jun,60.3,57.3,686042,651607,34435,5
28,2021,Jul,60.1,57.2,684112,650928,33184,4.9
29,2021,Aug,59.9,57,682786,650318,32468,4.8
30,2021,Sep,59.6,56.9,680563,649896,30667,4.5
31,2021,Oct,59.5,56.9,679766,649866,29900,4.4
32,2021,Nov,59.3,56.8,678494,649850,28644,4.2
33,2021,Dec,59.2,56.8,677998,649970,28028,4.1
