,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,63.9,61.5,1557061,1498319,58742,3.8
11,2020,Feb,63.8,61.3,1557556,1495176,62380,4
12,2020,Mar,63.4,58.4,1549483,1426039,123444,8
13,2020,Apr,58.2,41.6,1424442,1018117,406325,28.5
14,2020,May,55.6,42.6,1362621,1043396,319225,23.4
15,2020,Jun,60.6,49.4,1487179,1212146,275033,18.5
16,2020,Jul,61.4,51.1,1509304,1255208,254096,16.8
17,2020,Aug,61.4,52.3,1509581,1287179,222402,14.7
18,2020,Sep,61.8,53.4,1521245,1314409,206836,13.6
19,2020,Oct,61.5,54.1,1516600,1333401,183199,12.1
20,2020,Nov,61.5,54.6,1518249,1347817,170432,11.2
21,2020,Dec,61.6,55,1522404,1358304,164100,10.8
22,2021,Jan,61.5,55.2,1521871,1366383,155488,10.2
23,2021,Feb,61.5,55.5,1522506,1373549,148957,9.8
24,2021,Mar,61.4,55.7,1520768,1380648,140120,9.2
25,2021,Apr,61.2,55.9,1517479,1387207,130272,8.6
26,2021,May,60.9,56.1,1511383,1392756,118627,7.8
27,2021,Jun,60.6,56.2,1505986,1397365,108621,7.2
28,2021,Jul,60.2,56.3,1499187,1400892,98295,6.6
29,2021,Aug,59.9,56.3,1494247,1404189,90058,6
30,2021,Sep,59.7,56.4,1491008,1407253,83755,5.6
31,2021,Oct,59.6,56.4,1490463,1410441,80022,5.4
32,2021,Nov,59.5,56.4,1491068,1411914,79154,5.3
33,2021,Dec,59.5,56.4,1491740,1412880,78860,5.3
