,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,64.2,61.9,4734973,4567040,167933,3.5
11,2020,Feb,64,61.8,4722120,4558665,163455,3.5
12,2020,Mar,63.7,61.6,4701376,4547065,154311,3.3
13,2020,Apr,61.2,51.7,4518520,3817750,700770,15.5
14,2020,May,62.1,52.2,4579556,3854583,724973,15.8
15,2020,Jun,62.6,53.5,4621364,3949671,671693,14.5
16,2020,Jul,63.9,54.8,4716522,4043080,673442,14.3
17,2020,Aug,64,55.8,4723079,4117946,605133,12.8
18,2020,Sep,61.8,56.7,4563575,4183835,379740,8.3
19,2020,Oct,62,57.3,4574059,4229655,344404,7.5
20,2020,Nov,62.4,57.7,4609217,4264118,345099,7.5
21,2020,Dec,62.7,58.1,4629359,4287060,342299,7.4
22,2021,Jan,62.9,58.3,4643010,4303514,339496,7.3
23,2021,Feb,63,58.5,4652693,4318304,334389,7.2
24,2021,Mar,63.1,58.7,4657234,4334624,322610,6.9
25,2021,Apr,63.3,58.9,4675610,4349897,325713,7
26,2021,May,63.3,59.1,4672304,4361984,310320,6.6
27,2021,Jun,63.7,59.2,4702203,4369843,332360,7.1
28,2021,Jul,63.4,59.2,4684109,4374761,309348,6.6
29,2021,Aug,63.4,59.3,4683383,4379616,303767,6.5
30,2021,Sep,63,59.3,4656122,4384960,271162,5.8
31,2021,Oct,62.8,59.4,4646759,4392068,254691,5.5
32,2021,Nov,62.6,59.4,4633409,4396380,237029,5.1
33,2021,Dec,62.6,59.4,4632670,4398562,234108,5.1
