,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,61.1,59,2091160,2020092,71068,3.4
11,2020,Feb,61,58.9,2086983,2015218,71765,3.4
12,2020,Mar,60.8,58.7,2082016,2009882,72134,3.5
13,2020,Apr,59.2,51.3,2028482,1759680,268802,13.3
14,2020,May,61.5,54,2108250,1850939,257311,12.2
15,2020,Jun,61.4,55,2105645,1885544,220101,10.5
16,2020,Jul,61.7,55.9,2119317,1918495,200822,9.5
17,2020,Aug,61.6,56.6,2116178,1945267,170911,8.1
18,2020,Sep,61.9,57.2,2126399,1965990,160409,7.5
19,2020,Oct,61.8,57.5,2123899,1978535,145364,6.8
20,2020,Nov,61.8,57.7,2126407,1986027,140380,6.6
21,2020,Dec,62,57.9,2132173,1991479,140694,6.6
22,2021,Jan,62,58,2132790,1997279,135511,6.4
23,2021,Feb,62.1,58.2,2137702,2004641,133061,6.2
24,2021,Mar,62.2,58.5,2143183,2013317,129866,6.1
25,2021,Apr,62.4,58.7,2148432,2021599,126833,5.9
26,2021,May,62.3,58.9,2147616,2028171,119445,5.6
27,2021,Jun,62.3,59,2149652,2032584,117068,5.4
28,2021,Jul,62.2,59,2146514,2037215,109299,5.1
29,2021,Aug,62.2,59.2,2147670,2043151,104519,4.9
30,2021,Sep,62.2,59.4,2148586,2051284,97302,4.5
31,2021,Oct,62.3,59.6,2153888,2059323,94565,4.4
32,2021,Nov,62.3,59.6,2153754,2062462,91292,4.2
33,2021,Dec,62.2,59.6,2153595,2062891,90704,4.2
