,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,61.6,59.4,3347257,3227947,119310,3.6
11,2020,Feb,61.4,59.2,3338124,3218843,119281,3.6
12,2020,Mar,61.2,59,3327219,3206971,120248,3.6
13,2020,Apr,59,49.6,3211554,2701073,510481,15.9
14,2020,May,60,52.8,3268122,2873669,394453,12.1
15,2020,Jun,59.8,53.8,3260269,2932152,328117,10.1
16,2020,Jul,60.1,54.8,3277828,2989540,288288,8.8
17,2020,Aug,60.1,55.6,3282374,3037425,244949,7.5
18,2020,Sep,60.6,56.3,3309009,3079361,229648,6.9
19,2020,Oct,60.5,56.8,3311852,3108454,203398,6.1
20,2020,Nov,60.6,57.1,3317441,3127258,190183,5.7
21,2020,Dec,60.6,57.3,3318929,3137768,181161,5.5
22,2021,Jan,60.5,57.3,3314626,3142669,171957,5.2
23,2021,Feb,60.4,57.3,3312632,3146330,166302,5
24,2021,Mar,60.4,57.4,3314337,3152453,161884,4.9
25,2021,Apr,60.4,57.5,3319366,3161329,158037,4.8
26,2021,May,60.5,57.7,3324202,3172170,152032,4.6
27,2021,Jun,60.5,57.8,3329467,3182243,147224,4.4
28,2021,Jul,60.5,57.9,3331970,3191864,140106,4.2
29,2021,Aug,60.4,58,3333606,3200554,133052,4
30,2021,Sep,60.4,58.1,3335317,3208956,126361,3.8
31,2021,Oct,60.4,58.2,3338298,3216223,122075,3.7
32,2021,Nov,60.3,58.1,3339185,3219058,120127,3.6
33,2021,Dec,60.3,58.1,3339846,3220022,119824,3.6
