,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,68.3,66.6,1635538,1593924,41614,2.5
11,2020,Feb,68.1,66.4,1633857,1592006,41851,2.6
12,2020,Mar,67.9,66.2,1631235,1589690,41545,2.5
13,2020,Apr,67.4,60.6,1621670,1458740,162930,10
14,2020,May,67.7,62.6,1630827,1507645,123182,7.6
15,2020,Jun,67.4,63.3,1628195,1527608,100587,6.2
16,2020,Jul,67.7,64,1636376,1547412,88964,5.4
17,2020,Aug,67.7,64.6,1640377,1564469,75908,4.6
18,2020,Sep,67.9,65,1650040,1578807,71233,4.3
19,2020,Oct,67.9,65.3,1653401,1589107,64294,3.9
20,2020,Nov,67.9,65.5,1657266,1596542,60724,3.7
21,2020,Dec,68,65.6,1660730,1602327,58403,3.5
22,2021,Jan,67.9,65.7,1662490,1607823,54667,3.3
23,2021,Feb,67.9,65.8,1665906,1613637,52269,3.1
24,2021,Mar,68,65.9,1670033,1619819,50214,3
25,2021,Apr,68,66,1674639,1625698,48941,2.9
26,2021,May,68,66.1,1678424,1630846,47578,2.8
27,2021,Jun,68,66.1,1681787,1634954,46833,2.8
28,2021,Jul,68,66.1,1684468,1639099,45369,2.7
29,2021,Aug,67.9,66.2,1686877,1643291,43586,2.6
30,2021,Sep,67.8,66.2,1689246,1647835,41411,2.5
31,2021,Oct,67.8,66.2,1691653,1651906,39747,2.3
32,2021,Nov,67.7,66.1,1692232,1653196,39036,2.3
33,2021,Dec,67.5,66,1692122,1653334,38788,2.3
