,Year,Period,Labor Force Participation Rate,Employment-Population Ratio,Labor Force,Employment,Unemployment,Unemployment Rate
10,2020,Jan,66.2,63.1,297103,283219,13884,4.7
11,2020,Feb,66.1,62.9,297035,282348,14687,4.9
12,2020,Mar,66,62.6,296702,281396,15306,5.2
13,2020,Apr,64.1,60.7,288335,272723,15612,5.4
14,2020,May,66.3,60.6,298314,272632,25682,8.6
15,2020,Jun,65.4,60.7,294108,273032,21076,7.2
16,2020,Jul,65.2,60.9,293336,274047,19289,6.6
17,2020,Aug,64.9,61.1,292404,275105,17299,5.9
18,2020,Sep,64.9,61.2,292330,276005,16325,5.6
19,2020,Oct,64.7,61.3,291789,276377,15412,5.3
20,2020,Nov,64.6,61.2,291440,276394,15046,5.2
21,2020,Dec,64.5,61.2,291200,276231,14969,5.1
22,2021,Jan,64.4,61.1,290921,276131,14790,5.1
23,2021,Feb,64.4,61.1,290883,276229,14654,5
24,2021,Mar,64.3,61.2,290946,276539,14407,5
25,2021,Apr,64.3,61.2,290962,276880,14082,4.8
26,2021,May,64.2,61.2,290753,277103,13650,4.7
27,2021,Jun,64.1,61.2,290486,277176,13310,4.6
28,2021,Jul,64,61.1,290132,277210,12922,4.5
29,2021,Aug,63.9,61.1,289856,277344,12512,4.3
30,2021,Sep,63.8,61.1,289705,277650,12055,4.2
31,2021,Oct,63.7,61.2,289766,278088,11678,4
32,2021,Nov,63.7,61.2,289808,278252,11556,4
33,2021,Dec,63.6,61.1,289831,278283,11548,4
