state,infected,deaths,population,pop_density,gini,icu_beds,unemployment,hospitals,health_spending,pollution,Med-large_airports,total_vaccines_administered,recipients_one_dose,fully_vaccinated
Alabama,1511092,20321,4908621,96.9221,0.4847,1533,2.7,101,7281,8.1,1.0,"6,087,103","3,031,464","2,459,363"
Alaska,302448,1321,734002,1.2863,0.4081,119,5.8,21,11064,6.4,1.0,"1,093,808","500,864","445,530"
Arizona,2264159,31244,7378494,64.955,0.4713,1559,4.5,83,6452,9.7,1.0,"11,508,661","5,191,587","4,364,444"
Arkansas,943944,11970,3038999,58.403,0.4719,732,3.5,88,7408,7.1,0.0,"4,081,816","1,981,905","1,612,690"
California,11171759,95620,39937489,256.3727,0.4899,7338,3.9,359,7549,12.8,9.0,"71,306,336","32,284,670","27,773,615"
Colorado,1649212,13426,5845526,56.4011,0.4586,1597,2.5,89,6804,6.7,1.0,"10,299,034","4,507,596","3,980,992"
Connecticut,885767,11317,3563077,735.8689,0.4945,674,3.8,32,9859,7.2,1.0,"7,277,732","3,345,245","2,771,081"
Delaware,305284,3080,982895,504.3073,0.4522,186,3.9,7,10254,8.3,0.0,"1,729,273","794,932","656,886"
Florida,7082717,80647,21992985,410.1256,0.4852,5604,2.8,217,8076,7.4,7.0,"36,035,360","16,742,736","14,140,484"
Georgia,2809555,38468,10736059,186.6719,0.4813,2508,3.1,145,6587,8.3,1.0,"14,324,212","6,823,694","5,684,843"
Hawaii,333547,1662,1412687,219.9419,0.442,201,2.7,22,7299,5.4,2.0,"2,798,201","1,219,505","1,091,528"
Idaho,492685,5145,1826156,22.0969,0.4503,314,2.7,45,6927,6.8,0.0,"2,360,131","1,076,526","947,620"
Illinois,3734881,39498,12659682,228.0243,0.481,3144,3.4,187,8262,9.3,2.0,"21,736,793","9,626,645","8,535,116"
Indiana,1912563,24557,6745354,188.281,0.4527,1861,3.1,132,8300,8.4,1.0,"9,181,342","4,079,456","3,633,484"
Iowa,850932,9994,3179849,56.9284,0.4451,545,2.8,118,8200,7.1,0.0,"4,918,082","2,120,865","1,925,828"
Kansas,873582,9072,2910357,35.5968,0.455,767,3.1,139,7651,7.0,0.0,"4,426,448","2,136,257","1,748,742"
Kentucky,1574948,16822,4499692,113.9566,0.4813,1392,4.2,105,8004,8.1,1.0,"6,307,433","2,914,663","2,518,865"
Louisiana,1446738,17955,4645184,107.5175,0.499,1289,5.2,158,7815,7.9,1.0,"6,037,879","2,791,343","2,437,569"
Maine,285670,2561,1345790,43.6336,0.4519,256,3.2,34,9531,5.9,0.0,"2,699,754","1,199,695","1,052,865"
Maryland,1236570,15285,6083116,626.6731,0.4499,1134,3.3,50,8602,7.7,1.0,"11,477,997","5,123,280","4,467,987"
Massachusetts,2021331,21536,6976597,894.4355,0.4786,1326,2.8,75,10559,6.3,1.0,"14,240,010","6,644,667","5,347,614"
Michigan,2804588,38317,10045029,177.6655,0.4695,2423,3.6,144,8055,8.0,1.0,"15,173,971","6,594,683","5,906,732"
Minnesota,1645653,13509,5700671,71.5922,0.4496,1171,3.1,127,8871,6.6,1.0,"9,881,179","4,188,548","3,839,758"
Mississippi,922493,12853,2989260,63.7056,0.4828,824,5.4,99,7646,7.7,0.0,"3,755,138","1,747,941","1,513,239"
Missouri,1648081,21552,6169270,89.7453,0.4646,1888,3.5,122,8107,7.5,2.0,"8,640,760","4,007,078","3,378,567"
Montana,306981,3509,1086759,7.4668,0.4667,165,3.5,56,8221,6.6,0.0,"1,532,922","688,693","597,260"
Nebraska,534299,4490,1952570,25.4161,0.4477,440,2.9,93,8412,7.1,1.0,"3,076,310","1,340,841","1,207,389"
Nevada,844294,11427,3139658,28.5993,0.4577,900,3.6,44,6714,9.0,1.0,"4,702,645","2,277,308","1,835,909"
New Hampshire,346949,2678,1371246,153.1605,0.4304,242,2.6,28,9589,4.4,0.0,"2,627,136","1,465,389","949,182"
New Jersey,2703340,34651,8936574,1215.1991,0.4813,1822,3.8,82,8859,8.1,1.0,"16,506,885","7,891,960","6,584,250"
New Mexico,615162,8499,2096640,17.285,0.4769,340,4.8,41,7214,6.0,1.0,"3,757,497","1,800,199","1,458,010"
New York,6031598,70733,19440469,412.5211,0.5229,3952,3.7,166,9778,6.6,3.0,"37,747,898","17,276,912","14,667,298"
North Carolina,3162491,26424,10611862,218.2702,0.478,2227,3.6,112,7264,7.2,2.0,"16,087,180","8,616,580","6,214,836"
North Dakota,266273,2401,761723,11.0393,0.4533,238,2.2,39,9851,4.6,0.0,"1,062,988","490,919","414,566"
Ohio,3096557,39576,11747694,287.5038,0.468,3314,4.1,194,8712,8.5,3.0,"17,195,084","7,343,557","6,724,932"
Oklahoma,1186780,14765,3954821,57.6547,0.4645,1064,3.2,125,7627,8.2,0.0,"5,713,651","2,767,253","2,214,720"
Oregon,885963,8492,4301089,44.8086,0.4583,659,3.3,61,8044,7.8,1.0,"7,424,941","3,241,951","2,892,814"
Pennsylvania,3220994,46970,12820878,286.5449,0.4689,3169,4.7,199,9258,9.2,2.0,"22,046,766","10,653,120","8,559,178"
Rhode Island,420175,3652,1056161,1021.4323,0.4781,279,3.4,11,9551,7.3,0.0,"2,125,909","1,018,609","853,229"
South Carolina,1696746,18316,5210095,173.3174,0.4735,1225,2.5,69,7311,7.4,0.0,"7,253,946","3,419,999","2,870,932"
South Dakota,259683,3014,903027,11.9116,0.4495,152,3.3,57,8933,5.1,0.0,"1,352,959","662,041","528,863"
Tennessee,2263911,27267,6897576,167.2748,0.479,2209,3.4,115,7372,7.4,1.0,"9,577,064","4,185,761","3,654,266"
Texas,7826318,90673,29472295,112.8204,0.48,6199,3.5,523,6998,8.3,6.0,"44,254,223","20,536,806","17,374,227"
Utah,1032402,4989,3282115,39.94300000000001,0.4063,565,2.5,54,5982,8.4,1.0,"5,062,117","2,281,759","2,027,921"
Vermont,141282,715,628061,68.1416,0.4539,94,2.4,14,10190,5.1,0.0,"1,344,313","579,333","499,883"
Virginia,2066675,21646,8626207,218.4403,0.4705,1654,2.6,96,7556,6.9,2.0,"15,848,582","7,202,040","6,135,445"
Washington,1796368,14195,7797095,117.3272,0.4591,1265,3.8,92,7913,8.0,1.0,"13,818,660","6,065,279","5,431,648"
West Virginia,593806,7351,1778070,73.9691,0.4711,653,4.9,56,9462,7.6,0.0,"2,631,484","1,149,309","1,016,453"
Wisconsin,1848935,15160,5851754,108.0497,0.4498,1159,3.5,133,8702,6.8,1.0,"9,846,287","4,133,936","3,754,939"
Wyoming,175746,1888,567025,5.84,0.436,102,3.7,29,8320,5.0,0.0,"730,002","335,348","292,555"
