State,Infected,Deaths
Alabama,1511092,20321
Alaska,302448,1321
Arizona,2264159,31244
Arkansas,943944,11970
California,11171759,95620
Colorado,1649212,13426
Connecticut,885767,11317
Delaware,305284,3080
Florida,7082717,80647
Georgia,2809555,38468
Hawaii,333547,1662
Idaho,492685,5145
Illinois,3734881,39498
Indiana,1912563,24557
Iowa,850932,9994
Kansas,873582,9072
Kentucky,1574948,16822
Louisiana,1446738,17955
Maine,285670,2561
Maryland,1236570,15285
Massachusetts,2021331,21536
Michigan,2804588,38317
Minnesota,1645653,13509
Mississippi,922493,12853
Missouri,1648081,21552
Montana,306981,3509
Nebraska,534299,4490
Nevada,844294,11427
New Hampshire,346949,2678
New Jersey,2703340,34651
New Mexico,615162,8499
New York,6031598,70733
North Carolina,3162491,26424
North Dakota,266273,2401
Ohio,3096557,39576
Oklahoma,1186780,14765
Oregon,885963,8492
Pennsylvania,3220994,46970
Rhode Island,420175,3652
South Carolina,1696746,18316
South Dakota,259683,3014
Tennessee,2263911,27267
Texas,7826318,90673
Utah,1032402,4989
Vermont,141282,715
Virginia,2066675,21646
Washington,1796368,14195
West Virginia,593806,7351
Wisconsin,1848935,15160
Wyoming,175746,1888
